nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,occnow,problav1,cerc2,problav2,finelav,etalav2,etapen,coppu,coppmax,coppmin,prevcom,coppip
27923,1,1,2,,,17,1,37,,2,,,,2010,,,,,,,
27923,2,0,,,,,,,,2,,2,,,,,,,,,
27923,3,0,,,,,,,,2,,2,,,,,,,,,
27923,4,0,,,,,,,,2,,2,,,,,,,,,
27947,1,1,2,,,15,1,37,,2,,,,1995,,,,,,,
27947,2,1,1,1,,15,1,15,,2,,,,1992,,,,,,,
28362,1,1,2,,,27,1,38,,2,,,,1993,,,,,,,
28441,1,2,2,,1,28,1,37,,2,,,,2012,,,,,,,
28441,2,1,2,,,18,1,10,,2,,2,,1986,,,,,,,
28802,1,2,2,,3,20,1,20,,1,100,2,,,40,67,70,80,70,,
28802,2,2,2,,1,20,1,33,,1,100,2,,,25,67,80,80,80,2,
28859,1,0,,,,,,,,2,,,,,,,,,,,
